reference_date,location,horizon,model,target_end_date,truth,point,wis,mae,persistence_mae
2023-10-14,01,1,ensemble,2023-10-21,30.0,27.0,4.623785644234678,3.0,10.0
2023-10-14,01,1,baseline,2023-10-21,30.0,23.0,6.2589769288997275,7.0,10.0
2023-10-14,01,2,ensemble,2023-10-28,32.0,28.87,6.264811294373078,3.129999999999999,12.0
2023-10-14,01,2,baseline,2023-10-28,32.0,23.0,7.833082125712565,9.0,12.0
2023-10-14,01,3,ensemble,2023-11-04,37.0,27.0,6.6983180691336806,10.0,17.0
2023-10-14,01,3,baseline,2023-11-04,37.0,23.0,9.928818461858535,14.0,17.0
2023-10-14,02,1,ensemble,2023-10-21,21.0,6.29,8.758104320841133,14.71,11.0
2023-10-14,02,1,baseline,2023-10-21,21.0,6.0,8.755818219725677,15.0,11.0
2023-10-14,02,2,ensemble,2023-10-28,30.0,7.0,15.210107879309726,23.0,20.0
2023-10-14,02,2,baseline,2023-10-28,30.0,6.0,14.752135953294308,24.0,20.0
2023-10-14,02,3,ensemble,2023-11-04,33.0,7.0,16.293125397617672,26.0,23.0
2023-10-14,02,3,baseline,2023-11-04,33.0,6.0,16.308205360097073,27.0,23.0
2023-10-14,04,1,ensemble,2023-10-21,52.0,21.5,14.827438054005869,30.5,36.0
2023-10-14,04,1,baseline,2023-10-21,52.0,21.0,17.184491888788447,31.0,36.0
2023-10-14,04,2,ensemble,2023-10-28,49.0,22.0,12.14676805585459,27.0,33.0
2023-10-14,04,2,baseline,2023-10-28,49.0,21.0,16.692170929861483,28.0,33.0
2023-10-14,04,3,ensemble,2023-11-04,51.0,24.0,12.599547969655879,27.0,35.0
2023-10-14,04,3,baseline,2023-11-04,51.0,21.0,18.474558505041564,30.0,35.0
2023-10-14,05,1,ensemble,2023-10-21,18.0,11.77,3.37139054086446,6.23,1.0
2023-10-14,05,1,baseline,2023-10-21,18.0,10.0,5.793053119161626,8.0,1.0
2023-10-14,05,2,ensemble,2023-10-28,13.0,14.0,2.576486014563675,1.0,4.0
2023-10-14,05,2,baseline,2023-10-28,13.0,10.0,5.952401175229147,3.0,4.0
2023-10-14,05,3,ensemble,2023-11-04,18.0,13.974525828361518,3.1325200473936863,4.025474171638482,1.0
2023-10-14,05,3,baseline,2023-11-04,18.0,10.0,7.3705377817691256,8.0,1.0
